# Copyright (c) 1966-2016 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2016-10-01
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	Mim Number	Gene Symbols	Gene Name	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr7	71132413	71713600	7q11.22		615137	WBSCR17, GALNTL3, GALNACT17	Williams-Beuren syndrome chromosome region 17	WBSCR17	64409	ENSG00000185274			Wbscr17 (MGI:2137594)
chr7	72700000	77900000		7q11.23	613729	DEL7q11.23, C7DELq11.23	Chromosome 7q11.23 deletion syndrome, distal, 1.2Mb				contiguous gene deletion syndrome	Chromosome 7q11.23 deletion syndrome, distal, 1.2Mb, 613729 (4)	
chr7	72700000	77900000		7q11.23	609757	DUP7q11.23, C7DUPq11.23	Chromosome 7q11.23 duplication syndrome					Chromosome 7q11.23 duplication syndrome, 609757 (4), Autosomal dominant	
chr7	72700000	77900000		7q11.23	611887	UPK3B, UPIIIB, P35	Uroplakin 3B	UPK3B	80761	ENSG00000243566			Upk3b (MGI:2140882)
chr7	72700000	77900000		7q11.23	194050	WBS, WMS, WS, DEL7q11, C7DELq11	Williams-Beuren syndrome (chromosome 7q11.23 deletion syndrome)				contiguous gene syndrome	Williams-Beuren syndrome, 194050 (4), Autosomal dominant	
chr7	72879334	72951439	7q11.23		615753	POM121, POM121A, KIAA0618	POM121 transmembrane nucleoporin	POM121	9883	ENSG00000196313			Pom121 (MGI:2137624)
chr7	72954844	73005931	7q11.23		612550	TRIM74, TRIM50C	Tripartite motif-containing protein 74	TRIM74	378108	ENSG00000155428			
chr7	73302515	73308866	7q11.23		615732	NSUN5, WBSCR20, WBSCR20A	NOP2/SUN domain family, member 5	NSUN5	55695	ENSG00000130305			Nsun5 (MGI:2140844)
chr7	73312535	73328081	7q11.23		612548	TRIM50, TRIM50A	Tripartite motif-containing protein 50	TRIM50	135892	ENSG00000146755			Trim50 (MGI:2664992)
chr7	73328151	73358636	7q11.23		604839	FKBP6	FK506-binding protein 6	FKBP6	8468	ENSG00000077800			Fkbp6 (MGI:2137612)
chr7	73433778	73436119	7q11.23		601766	FZD9, FZD3	Frizzled, Drosophila, homolog of, 9	FZD9	8326	ENSG00000188763			Fzd9 (MGI:1313278)
chr7	73440397	73522297	7q11.23		605681	BAZ1B, WSTF, WBSCR9	Bromodomain adjacent to zinc finger domain, 1B	BAZ1B	9031	ENSG00000009954			Baz1b (MGI:1353499)
chr7	73536352	73557734	7q11.23		605846	BCL7B	B-cell CLL/lymphoma 7B	BCL7B	9275	ENSG00000106635			Bcl7b (MGI:1332238)
chr7	73568943	73578682	7q11.23		605842	TBL2	Transducin-beta-like 2	TBL2	26608	ENSG00000106638			Tbl2 (MGI:1351652)
chr7	73593193	73624542	7q11.23		605678	MLXIPL, WBSCR14, MONDOB, CHREBP	MLX interacting protein-like	MLXIPL	51085	ENSG00000009950			Mlxipl (MGI:1927999)
chr7	73665345	73672109	7q11.23		610039	VPS37D, WBSCR24	Vacuolar protein sorting 37, yeast, homolog of, D	VPS37D	155382	ENSG00000176428			Vps37d (MGI:2159402)
chr7	73683567	73698220	7q11.23		615733	WBSCR22, MERM1	Williams-Beuren syndrome critical region 22	WBSCR22	114049	ENSG00000071462			Wbscr22 (MGI:1913388)
chr7	73699204	73719701	7q11.23		186590	STX1A, STX1	Syntaxin 1A, brain	STX1A	6804	ENSG00000106089			Stx1a (MGI:109355)
chr7	73735068	73735999	7q11.23		612545	WBSCR26	Williams-Beuren syndrome chromosome region 26	ABHD11-AS1	171022				
chr7	73768996	73770269	7q11.23		602910	CLDN3, CPETR2	Claudin-3 (Clostridium perfringens enterotoxin receptor 2)	CLDN3	1365	ENSG00000165215			Cldn3 (MGI:1329044)
chr7	73830862	73832692	7q11.23		602909	CLDN4, CPETR1, CPER	Claudin 4	CLDN4	1364	ENSG00000189143			Cldn4 (MGI:1313314)
chr7	73834589	73842526	7q11.23		612546	WBSCR27	Williams-Beuren syndrome chromosome region 27	WBSCR27	155368	ENSG00000165171			Wbscr27 (MGI:1933146)
chr7	73860847	73865892	7q11.23		612547	WBSCR28	Williams-Beuren syndrome chromosome region 28	WBSCR28	135886	ENSG00000175877			Wbscr28 (MGI:1923879)
chr7	74027771	74069906	7q11.23		130160	ELN	Elastin	ELN	2006	ENSG00000049540		Cutis laxa, AD, 123700 (3), Autosomal dominant; Supravalvar aortic stenosis, 185500 (3), Autosomal dominant	
chr7	74083776	74122524	7q11.23		601329	LIMK1	LIM domain kinase 1	LIMK1	3984	ENSG00000106683			Limk1 (MGI:104572)
chr7	74174375	74197100	7q11.23		603431	EIF4H, WBSCR1, WSCR1	Eukaryotic translation initiation factor 4H	EIF4H	7458	ENSG00000106682			Eif4h (MGI:1341822)
chr7	74191197	74191293	7q11.23		615070	MIR590	Micro RNA 590	MIR590	693175	ENSG00000207741			
chr7	74209756	74229833	7q11.23		605719	LAT2, WBSCR5, LAB, NTAL	Linker for activation of T cells family, member 2	LAT2	7462	ENSG00000086730			Lat2 (MGI:1926479)
chr7	74231501	74254457	7q11.23		600404	RFC2	Replication factor C2, 40kD (activator 1, 40kD)	RFC2	5982	ENSG00000049541			Rfc2 (MGI:1341868)
chr7	74289436	74405942	7q11.23		603432	CLIP2, CYLN2, WBSCR4, WSCR4	CAP-GLY domain-containing linker protein 2	CLIP2	7461	ENSG00000106665	?neurodevelopmental defect of Williams syndrome		Clip2 (MGI:1313136)
chr7	74453789	74603069	7q11.23		604318	GTF2IRD1, GTF3, MUSTRD1, WBS	GTF21 repeat domain-containing protein 1	GTF2IRD1	9569	ENSG00000006704			Gtf2ird1 (MGI:1861942)
chr7	74657664	74760691	7q11.23		601679	GTF2I, BAP135, WBS	General transcription factor II-I (BTK-associated protein, 135kD)	GTF2I	2969	ENSG00000263001			Gtf2i (MGI:1202722)
chr7	74773961	74789375	7q11.23		608512	NCF1	Neutrophil cytosolic factor-1, 47kD	NCF1	653361	ENSG00000158517		Chronic granulomatous disease due to deficiency of NCF-1, 233700 (3), Autosomal recessive	Ncf1 (MGI:97283)
chr7	74964692	75031531	7q11.23		617033	GATSL2, CASTOR2	GATS protein-like 2	GATSL2	729438	ENSG00000274070			Gatsl2 (MGI:1933384)
chr7	75395628	75405612	7q11.23		612549	TRIM73, TRIM50B	Tripartite motif-containing protein 73	TRIM73	375593	ENSG00000178809			
chr7	75416780	75486287	7q11.23		615754	POM121C, POM121-2	POM121 Transmembrane nucleoporin C	POM121C	100101267	ENSG00000272391			Pom121 (MGI:2137624)
chr7	75533297	75738975	7q11.23		601767	HIP1	Huntingtin interacting protein-1	HIP1	3092	ENSG00000127946		{Prostate cancer, progression of}, 176807 (1), Autosomal dominant	Hip1 (MGI:1099804)
chr7	75769523	75791582	7q11.23		604697	CCL26, SCYA26	Chemokine, C-C motif, ligand 26	CCL26	10344	ENSG00000006606			
chr7	75810824	75823355	7q11.23		602495	CCL24, SCYA24, MPIF2	Chemokine, C-C motif, ligand 24	CCL24	6369	ENSG00000106178			Ccl24 (MGI:1928953)
chr7	75878998	75888925	7q11.23		615203	RHBDD2	Rhomboid domain-containing protein 2	RHBDD2	57414	ENSG00000005486			Rhbdd2 (MGI:1915612)
chr7	75915101	75986854	7q11.23		124015	POR	Cytochrome P450 oxidoreductase	POR	5447	ENSG00000127948		Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis, 201750 (3), Autosomal recessive; Disordered steroidogenesis due to cytochrome P450 oxidoreductase, 613571 (3)	Por (MGI:97744)
chr7	75986836	75994673	7q11.23		616550	TMEM120A, TMPIT, NET29	Transmembrane protein 120A	TMEM120A	83862	ENSG00000189077			Tmem120a (MGI:2686991)
chr7	75995819	76048708	7q11.23		616695	STYXL1, MKSTYX, DUSP24	Serine/threonine/tyrosine-interacting protein-like 1	STYXL1	51657	ENSG00000127952			Styxl1 (MGI:1923821)
chr7	76048018	76067507	7q11.23		154100	MDH2	Malate dehydrogenase, mitochondrial	MDH2	4191	ENSG00000146701			Mdh2 (MGI:97050)
chr7	76302557	76304296	7q11.23		602195	HSPB1, HSP27, CMT2F, HMN2B	Heat-shock 27kD protein-1	HSPB1	3315	ENSG00000106211		Charcot-Marie-Tooth disease, axonal, type 2F, 606595 (3), Autosomal dominant; Neuropathy, distal hereditary motor, type IIB, 608634 (3), Autosomal dominant	Hspb1 (MGI:96240)
chr7	76326790	76359024	7q11.23		605356	YWHAG	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma isoform	YWHAG	7532	ENSG00000170027			Ywhag (MGI:108109)
chr7	76389328	76410024	7q11.23		607639	SRCRB4D	Protein with 4 group B scavenger receptor cysteine-rich domains	SSC4D	136853	ENSG00000146700			Ssc4d (MGI:1924709)
chr7	76397523	76442070	7q11.23		182889	ZP3, ZP3A, ZP3B	Zona pellucida glycoprotein-3 (sperm receptor)	ZP3	7784	ENSG00000188372			Zp3 (MGI:99215)
chr7	76461654	76505994	7q11.23		613141	DTX2, KIAA1528	Deltex, Drosophila, homolog of, 2	DTX2	113878	ENSG00000282379			Dtx2 (MGI:1921448)
chr7	76609985	76627302	7q11.23		600587	POMZP3	POM121/ZP3 fusion protein	POMZP3	22932	ENSG00000146707			
chr7	77193370	77199832	7q11.23		605351	FGL2	Fibrinogen-like 2	FGL2	10875	ENSG00000127951			Fgl2 (MGI:103266)
chr7	77310750	77416428	7q11.23		613552	GSAP, PION	Gamma-secretase-activating protein	GSAP	54103	ENSG00000186088			Gsap (MGI:2442259)
chr7	77537159	77640070	7q11.23		600079	PTPN12, PTPG1	Protein tyrosine phosphatase, nonreceptor-type, 12	PTPN12	5782	ENSG00000127947		Colon cancer, somatic, 114500 (3)	Ptpn12 (MGI:104673)
chr7	77657659	77697344	7q11.23		616048	APTR	Alu-mediated CDKN1A/p21 transcriptional regulator, noncoding	APTR	100505854	ENSG00000214293			
chr7	77798791	77957503	7q11.23-q21.11		616785	PHTF2	Putative homeodomain transcription factor 2	PHTF2	57157	ENSG00000006576			Phtf2 (MGI:1916020)
chr7	77900000	98400000		7q21	608950	MAGI2IT, PR47	MAGI2 intronic transcript	MAGI2-IT1	266671				
chr7	77900000	107800000		7q21-q22	154276	MHS3	Malignant hyperthermia susceptibility 3		7977		?mutation in CACNA2	{Malignant hyperthermia susceptibility 3}, 154276 (2), Autosomal dominant	
chr7	77900000	98400000		7q21	612223	STQTL11	Stature quantitative trait locus 11		100270795		associated with rs2282978	{Stature QTL 11}, 612223 (2)	
chr7	78017054	79453804	7q21.11		606382	AIP1, KIAA0705	Atrophin 1-interacting protein 1	MAGI2	9863	ENSG00000187391			Magi2 (MGI:1354953)
chr7	80134823	80219408	7q21.11		139310	GNAI1	Guanine nucleotide-binding protein (G protein), alpha-inhibiting activity polypeptide-1	GNAI1	2770	ENSG00000127955			Gnai1 (MGI:95771)
chr7	80457290	80512502	7q21.11		139395	GNAT3, GDCA	Guanine nucleotide-binding protein, alpha-transducing activity polypeptide 3	GNAT3	346562	ENSG00000214415			Gnat3 (MGI:3588268)
chr7	80602187	80679276	7q21.11		173510	CD36, CHDS7, BDPLT10	CD36 antigen (collagen type I)	CD36	948	ENSG00000135218		{Coronary heart disease, susceptibility to, 7}, 610938 (3); [Macrothrombocytopenia] (1); {Malaria, cerebral, reduced risk of}, 611162 (3); {Malaria, cerebral, susceptibility to}, 611162 (3); Platelet glycoprotein IV deficiency, 608404 (3), Autosomal recessive	Cd36 (MGI:107899)
chr7	80742537	80919350	7q21.11		602645	SEMA3C	Semaphorin 3C	SEMA3C	10512	ENSG00000075223			Sema3c (MGI:107557)
chr7	81699005	81770437	7q21.11		142409	HGF, DFNB39	Hepatic growth factor	HGF	3082	ENSG00000019991		Deafness, autosomal recessive 39, 608265 (3), Autosomal recessive	Hgf (MGI:96079)
chr7	81946443	82443920	7q21.11		114204	CACNA2, CACNL2A	Calcium channel, voltage-dependent, L type, alpha 2/delta subunit	CACNA2D1	781	ENSG00000153956			Cacna2d1 (MGI:88295)
chr7	82754004	83164161	7q21.11		604918	PCLO, PCH3	Piccolo, mouse, homolog of	PCLO	27445	ENSG00000186472	mutation identified in 1 PCHD3 family	?Pontocerebellar hypoplasia, type 3, 608027 (3), Autosomal recessive	Pclo (MGI:1349390)
chr7	83363905	83649162	7q21.11		608166	SEMA3E, SEMAH, KIAA0331	Semaphorin 3E	SEMA3E	9723	ENSG00000170381	mutation identified in 1 CHARGE patient	?CHARGE syndrome, 214800 (3), Autosomal dominant	Sema3e (MGI:1340034)
chr7	83956845	84492723	7q21.11		603961	SEMA3A, SEMAD, COLL1, HH16	Semaphorin 3A	SEMA3A	10371	ENSG00000075213		{Hypogonadotropic hypogonadism 16 with or without anosmia}, 614897 (3), Autosomal dominant	Sema3a (MGI:107558)
chr7	84995191	85187175	7q21.11		609907	SEMA3D	Semaphorin 3D	SEMA3D	223117	ENSG00000153993			Sema3d (MGI:1860118)
chr7	86643913	86864878	7q21.11-q21.12		601115	GRM3	Glutamate receptor, metabotropic-3	GRM3	2913	ENSG00000198822			Grm3 (MGI:1351340)
chr7	86876905	87059713	7q21.12		614048	KIAA1324L, EIG121L	KIAA1324-like gene	KIAA1324L	222223	ENSG00000164659			9330182L06Rik (MGI:2443264)
chr7	87152360	87196331	7q21.12		608491	DMTF1, DMP1	Cyclin D-binding MYB-like transcription factor 1	DMTF1	9988	ENSG00000135164			Dmtf1 (MGI:1344415)
chr7	87195592	87220602	7q21.12		616993	TMEM243, C7orf23, MMTRAG	Transmembrane protein 243	TMEM243	79161	ENSG00000135185			Tmem243 (MGI:3606159)
chr7	87325346	87345491	7q21.12		616403	TP53TG1	TP53 target gene 1	TP53TG1	11257				
chr7	87345634	87399795	7q21.12		606090	CROT, COT	Carnitine octanoyltransferase	CROT	54677	ENSG00000005469			Crot (MGI:1921364)
chr7	87399460	87475863	7q21.12		171060	ABCB4, PGY3, MDR3, ICP3	ATP-binding cassette, subfamily B, member 4 (P-glycoprotein-3/multiple drug resistance-3)	ABCB4	5244	ENSG00000005471	within 500kb of MDR1	Cholestasis, intrahepatic, of pregnancy, 3, 614972 (3), Autosomal recessive, Autosomal dominant; Cholestasis, progressive familial intrahepatic 3, 602347 (3), Autosomal recessive; Gallbladder disease 1, 600803 (3), Autosomal recessive, Autosomal dominant	Abcb4 (MGI:97569)
chr7	87503862	87713322	7q21.12		171050	ABCB1, PGY1, MDR1, IBD13, CLCs	ATP-binding cassette, subfamily B, member 1 (P-glycoprotein-1/multiple drug resistance-1)	ABCB1	5243	ENSG00000085563		{Colchicine resistance}, 120080 (3); {Inflammatory bowel disease 13}, 612244 (3)	Abcb1a (MGI:97570)
chr7	87834498	87876376	7q21.12		610821	SLC25A40	Solute carrier family 25, member 40	SLC25A40	55972	ENSG00000075303			Slc25a40 (MGI:2442486)
chr7	87876228	87909540	7q21.12		604281	ASK, DBF4	Activator of S-phase kinase	DBF4	10926	ENSG00000006634			Dbf4 (MGI:1351328)
chr7	87934142	88202888	7q21.12		603709	ADAM22	A disintegrin and metalloproteinase domain 22	ADAM22	53616	ENSG00000008277			Adam22 (MGI:1340046)
chr7	88205114	88226992	7q21.12		182520	SRI, SCN	Sorcin (class 4 gene)	SRI	6717	ENSG00000075142			Sri (MGI:98419)
chr7	88276428	88306912	7q21.12		611098	STEAP4, STAMP2, TIARP	Six-transmembrane epithelial antigen of prostate 4	STEAP4	79689	ENSG00000127954			Steap4 (MGI:1923560)
chr7	90154374	90164826	7q21.13		604415	STEAP	Six-transmembrane epithelial antigen of the prostate	STEAP1	26872	ENSG00000164647			Steap1 (MGI:1917608)
chr7	90211685	90243407	7q21.13		605094	STEAP2, STAMP1, IPCA1, PCANAP1	Six-transmembrane epithelial antigen of prostate 2	STEAP2	261729	ENSG00000157214			Steap2 (MGI:1921301)
chr7	90346664	90391454	7q21.13		610920	GTPBP10, OBGH2	GTP-binding protein 10	GTPBP10	85865	ENSG00000105793			Gtpbp10 (MGI:2385599)
chr7	90403333	90415953	7q21.13		611232	CLKDN12	Claudin 12	CLDN12	9069	ENSG00000157224			Cldn12 (MGI:1929288)
chr7	90595993	91210589	7q21.13		610679	CDK14, PFTK1, PFTAIRE1, KIAA0834	Cyclin-dependent kinase 14	CDK14	5218	ENSG00000058091			Cdk14 (MGI:894318)
chr7	91264467	91268816	7q21.13		603408	FZD1	Frizzled, Drosophila, homolog of, 1	FZD1	8321	ENSG00000157240			Fzd1 (MGI:1196625)
chr7	91500000	98400000		7q21.2-q21.3	183600	SHFM1, SHFD1, SHSF1	Split hand/foot malformation (ectrodactyly) type 1				contiguous gene deletion syndrome	Split hand/foot malformation 1, 183600 (4), Autosomal dominant	
chr7	91872875	91880732	7q21.2		602318	MTERF	Transcription termination factor, mitochondrial	MTERF1	7978	ENSG00000127989			Mterf1a,Mterf1b (MGI:1918240,MGI:3704243)
chr7	91940866	92110672	7q21.2		604001	AKAP9, YOTIAO, AKAP450	A-kinase anchor protein 9	AKAP9	10142	ENSG00000127914	mutation identified in 1 LQT11 family	?Long QT syndrome-11, 611820 (3)	
chr7	92112148	92134744	7q21.2		601637	CYP51A1, CYP51	Cytochrome P450, family 51, subfamily A, polypeptide 1 (lanosterol 14-alpha-demethylase)	CYP51A1	1595	ENSG00000001630			Cyp51 (MGI:106040)
chr7	92198968	92246127	7q21.2		604214	CCM1, CAM, KRIT1	KREV interaction trapped 1	KRIT1	889	ENSG00000001631		Cavernous malformations of CNS and retina, 116860 (3), Autosomal dominant; Cerebral cavernous malformations-1, 116860 (3), Autosomal dominant; Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations, 116860 (3), Autosomal dominant	Krit1 (MGI:1930618)
chr7	92447447	92494630	7q21.2		614518	GATAD1, ODAG, CMD2B	GATA zinc finger domain-containing protein 1	GATAD1	57798	ENSG00000157259	mutation identified in 1 GATAD1 family	?Cardiomyopathy, dilated, 2B, 614672 (3), Autosomal recessive	Gatad1 (MGI:1914460)
chr7	92468379	92477914	7q21.2		604659	ERVW1, ERVWE1, HERVW	Endogenous retroviral family W, member 1 (syncytin)	ERVW-1	30816	ENSG00000242950			
chr7	92487022	92528530	7q21.2		602136	PEX1, ZWS1, PBD1A, PBD1B, HMLR1	Peroxisome biogenesis factor-1	PEX1	5189	ENSG00000127980		Heimler syndrome 1, 234580 (3), Autosomal recessive; Peroxisome biogenesis disorder 1A (Zellweger), 214100 (3), Autosomal recessive; Peroxisome biogenesis disorder 1B (NALD/IRD), 601539 (3)	Pex1 (MGI:1918632)
chr7	92604920	92836626	7q21.2		603368	CDK6, PLSTIRE, MCPH12	Cyclin-dependent kinase 6	CDK6	1021	ENSG00000105810	mutation identified in 1 MCPH12 family	?Microcephaly 12, primary, autosomal recessive, 616080 (3), Autosomal recessive	Cdk6 (MGI:1277162)
chr7	93099512	93118022	7q21.2		610456	SAMD9, NFTC, MIRAGE	Sterile alpha motif domain-containing protein 9	SAMD9	54809	ENSG00000205413		MIRAGE syndrome, 617053 (3), Autosomal dominant; Tumoral calcinosis, familial, normophosphatemic, 610455 (3), Autosomal recessive	
chr7	93130053	93148400	7q21.2		611170	SAMD9L, ATXPC	Sterile alpha motif domain-containing 9-like	SAMD9L	219285	ENSG00000177409		Ataxia-pancytopenia syndrome, 159550 (3), Autosomal dominant	Samd9l (MGI:1343184)
chr7	93188585	93232296	7q21.2		614133	HEPACAM2, MIKI	Hepacam family member 2	HEPACAM2	253012	ENSG00000188175			Hepacam2 (MGI:2141520)
chr7	93232339	93361122	7q21.2-q21.3		616465	VPS50, CCDC132, KIAA1861	VPS50, EARP/GARPII complex subunit	VPS50	55610	ENSG00000004766			Vps50 (MGI:1920538)
chr7	93424486	93574729	7q21.3		114131	CALCR, CRT	Calcitonin receptor	CALCR	799	ENSG00000004948	not deleted in Williams syndrome	{Osteoporosis, postmenopausal, susceptibility}, 166710 (3), Autosomal dominant	Calcr (MGI:101950)
chr7	93483935	93484018	7q21.3		614523	MIR489	Micro RNA 489	MIR489	574442	ENSG00000207656	in intron 4 of CALCR		
chr7	93885396	93890990	7q21.3		600033	TFPI2	Tissue factor pathway inhibitor-2	TFPI2	7980	ENSG00000105825			Tfpi2 (MGI:108543)
chr7	93906507	93911172	7q21.3		189970	GNGT1	Guanine nucleotide-binding protein, gamma-transducing activity polypeptide 1	GNGT1	2792	ENSG00000127928			Gngt1 (MGI:109165)
chr7	93921703	93926513	7q21.3		604390	GNG11	Guanine nucleotide-binding protein, gamma 11	GNG11	2791	ENSG00000127920			Gng11 (MGI:1913316)
chr7	93962769	94004381	7q21.3		605456	BET1	Bet1 golgi vesicular membrane-trafficking protein	BET1	10282	ENSG00000105829			Bet1 (MGI:1343104)
chr7	94394560	94431231	7q21.3		120160	COL1A2	Collagen I, alpha-2 polypeptide	COL1A2	1278	ENSG00000164692	~17cM from CF	Ehlers-Danlos syndrome, cardiac valvular form, 225320 (3), Autosomal recessive; Ehlers-Danlos syndrome, type VIIB, 130060 (3), Autosomal dominant; Osteogenesis imperfecta, type II, 166210 (3), Autosomal dominant; Osteogenesis imperfecta, type III, 259420 (3), Autosomal dominant; Osteogenesis imperfecta, type IV, 166220 (3), Autosomal dominant; {Osteoporosis, postmenopausal}, 166710 (3), Autosomal dominant	Col1a2 (MGI:88468)
chr7	94509857	94633464	7q21.3		611686	CASD1, C7orf12	CAS1 domain-containing protein 1	CASD1	64921	ENSG00000127995			Casd1 (MGI:2384865)
chr7	94585223	94656208	7q21.3		604149	SGCE, DYT11	Sarcoglycan, epsilon	SGCE	8910	ENSG00000127990	pseudogene on 2q21; maternally imprinted	Dystonia-11, myoclonic, 159900 (3), Autosomal dominant	Sgce (MGI:1329042)
chr7	94656324	94669694	7q21.3		609810	PEG10, KIAA1051	Paternally expressed gene 10	PEG10	23089	ENSG00000242265			Peg10 (MGI:2157785)
chr7	94907201	95296414	7q21.3		602468	PPP1R9A, NRBI, NRB1, KIAA1222	Protein phosphatase 1, regulatory subunit 9A (neurabin I)	PPP1R9A	55607	ENSG00000158528			Ppp1r9a (MGI:2442401)
chr7	95298356	95324571	7q21.3		168820	PON1, PON, ESA, MVCD5	Paraoxonase-1	PON1	5444	ENSG00000005421		{Coronary artery disease, susceptibility to} (3); {Coronary artery spasm 2, susceptibility to (3); {Microvascular complications of diabetes 5}, 612633 (3); {Organophosphate poisoning, sensitivity to} (3)	Pon1 (MGI:103295)
chr7	95359871	95396374	7q21.3		602720	PON3	Paraoxonase-3	PON3	5446	ENSG00000105852			Pon3 (MGI:106686)
chr7	95404861	95435071	7q21.3		602447	PON2	Paraoxonase-2	PON2	5445	ENSG00000105854		{Coronary artery disease, susceptibility to} (3)	Pon2 (MGI:106687)
chr7	95485438	95544737	7q21.3		605761	ASB4	Ankyrin repeat-containing SOCS box protein 4	ASB4	51666	ENSG00000005981			Asb4 (MGI:1929751)
chr7	95583496	95596612	7q21.3		602527	PDK4	Pyruvate dehydrogenase kinase, isoenzyme 4	PDK4	5166	ENSG00000004799			Pdk4 (MGI:1351481)
chr7	95772505	96110321	7q21.3		603772	DNCI1	Dynein, cytoplasmic, intermediate chain 1	DYNC1I1	1780	ENSG00000158560			Dync1i1 (MGI:107743)
chr7	96120219	96322146	7q21.3		603859	SLC25A13, CTLN2	Solute carrier family 25 (mitochondrial carrier, citrin), member 13	SLC25A13	10165	ENSG00000004864		Citrullinemia, adult-onset type II, 603471 (3), Autosomal recessive; Citrullinemia, type II, neonatal-onset, 605814 (3), Autosomal recessive	Slc25a13 (MGI:1354721)
chr7	96688766	96709890	7q21.3		601285	DSS1	Deleted in split-hand/split-foot 1 region	SHFM1	7979	ENSG00000127922	?gene mutant in SHFM1		Shfm1 (MGI:109238)
chr7	97005977	97011039	7q21.3		600030	DLX6	Distal-less homeo box-6	DLX6	1750	ENSG00000006377			Dlx6 (MGI:101927)
chr7	97020389	97024830	7q21.3		600028	DLX5, SHFM1D	Distal-less homeo box-5	DLX5	1749	ENSG00000105880	mutation identified in 1 family	?Split-hand/foot malformation 1 with sensorineural hearing loss, 220600 (3), Autosomal recessive	Dlx5 (MGI:101926)
chr7	97116592	97181762	7q21.3		615773	ACN9	Acn9, S. cerevisiae, homolog of	SDHAF3	57001	ENSG00000196636			Sdhaf3 (MGI:1913288)
chr7	97731958	97740471	7q21.3		162320	TAC1, TAC2, NKNA	Tachykinin 1 (substance K; neurokinin A; neurokinin 2; neuromedin L; neuropeptide gamma; tachykinin 2)	TAC1	6863	ENSG00000006128			Tac1 (MGI:98474)
chr7	97852116	97872541	7q21.3		108370	ASNS, ASNSD	Asparagine synthetase	ASNS	440	ENSG00000070669	temperature sensitive G1 mutant	Asparagine synthetase deficiency, 615574 (3), Autosomal recessive	Asns (MGI:1350929)
chr7	98106867	98209632	7q21.3		610989	LMTK2, KPI2, BREK, KIAA1079	Lemur tyrosine kinase 2	LMTK2	22853	ENSG00000164715			Lmtk2 (MGI:3036247)
chr7	98215442	98252250	7q21.3		614781	TECPR1, KIAA1358	Tectonin beta-propeller repeat-containing 1	TECPR1	25851	ENSG00000205356			Tecpr1 (MGI:1917631)
chr7	98281666	98322397	7q21.3		615628	BRI3	Brain protein I3	BRI3	25798	ENSG00000164713			Bri3 (MGI:1933174)
chr7	98291649	98401114	7q21.3-q22.1		611877	BAIAP2L1, IRTKS	BAI1-associated protein 2-like 1	BAIAP2L1	55971	ENSG00000006453			Baiap2l1 (MGI:1914148)
chr7	98400000	107800000		7q22	209850	AUTS1	Autism, susceptibility to, 1		100188832			{Autism susceptibility 1}, 209850 (2), Isolated cases, Multifactorial	
chr7	98400000	132900000		7q22-q32	148750	G7P1	Kinase-like protein						
chr7	98400000	104200000		7q22.1	612130	GAEC1	Gene amplified in esophageal cancer 1		100126794				
chr7	98400000	107800000		7q22	191390	IBD11	Inflammatory bowel disease 11		100529151		associated with MUC3A	{Inflammatory bowel disease 11}, 191390 (2), Multifactorial	
chr7	98400000	107800000		7q22	605633	MUC3B	Mucin 3B, intestinal	MUC3B	57876				
chr7	98400000	107800000		7q22	608580	MYH16	Myosin, heavy chain 16, skeletal muscle	MYH16	84176		inactivated in humans; expressed in masticatory muscles in nonhuman primates		
chr7	98400000	159345973		7q22-qter	162820	NM, NCR	Neutrophil migration, abnormal	NM	4827			?Neutrophil chemotactic response, abnormal, 162820 (2), Autosomal dominant	
chr7	98400000	107800000		7q22	608562	PAPA4	Polydactyly, postaxial, type A4		450096		highest lod with D7S1799	Polydactyly, postaxial, type A4, 608562 (2)	
chr7	98400000	132900000		7q22-q32	607458	SCA18, SMNA	Spinal cerebellar ataxia 18	SCA18	94008		between D7S2418 and D7S1804	Spinocerebellar ataxia 18, 607458 (2), Autosomal dominant	
chr7	98617284	98629868	7q22.1		600750	NPTX2	Pentraxin II	NPTX2	4885	ENSG00000106236			Nptx2 (MGI:1858209)
chr7	98878489	99013242	7q22.1		603015	TRRAP	Transformation/transcription domain-associated protein	TRRAP	8295	ENSG00000196367			Trrap (MGI:2153272)
chr7	99027434	99144119	7q22.1		605568	SMURF1	SMAD ubiquitination regulatory factor 1	SMURF1	57154	ENSG00000198742			Smurf1 (MGI:1923038)
chr7	99145466	99219416	7q22.1		614107	KPNA7	Karyopherin alpha 7	KPNA7	402569	ENSG00000185467			Kpna7 (MGI:2141165)
chr7	99325872	99366261	7q22.1		604220	ARPC1A, SOP2L	Actin-related protein 2/3 complex, subunit 1A	ARPC1A	10552	ENSG00000241685			Arpc1a (MGI:1928896)
chr7	99374674	99394800	7q22.1		604223	ARPC1B, ARC41	Actin-related protein 2/3 complex, subunit 1B	ARPC1B	10095	ENSG00000130429			Arpc1b (MGI:1343142)
